artist_id,artist_name,genres,gender,category
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,"big room,dance pop,edm,pop,pop dance",male,Solo Act
2txHhyCwHjUEpJjWrEyqyX,Tom Odell,chill pop,male,Solo Act
2PJEagPIxaBugeMjIyKVXF,Aitch,"manchester hip hop,uk hip hop",male,Solo Act
6rqlONGmPuP2wJVSfliLBI,Peter Fox,"german pop,german rock",male,Solo Act
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,"canadian contemporary r&b,canadian pop,pop",male,Solo Act
6veh5zbFpm31XsPdjBgPER,BIA,"rap latina,trap queen",female,Solo Act
4bL2B6hmLlMWnUEZnorEtG,Felix Jaehn,"edm,german dance,pop dance,tropical house",male,Solo Act
5KKpBU5eC2tJDzf0wmlRp2,RAYE,"uk contemporary r&b,uk pop",female,Solo Act
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,"dance pop,pop",female,Solo Act
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,female,Solo Act
6zBax4hSAI1BJYgwF61EP5,Inéz,,female,Solo Act
4e0nWw2r4BoQSKPQ2zpU13,Ray Dalton,pop dance,male,Solo Act
2kS9NyuATpYwjeB93h24H5,Nina Chuba,"german pop,hamburg hip hop",female,Solo Act
45ruzGUmIr8WLjLOPJ9mGU,Miggy Dela Rosa,"dance pop,pop dance",,Unknown
1URnnhqYAYcrqrcwql10ft,21 Savage,"atl hip hop,hip hop,rap",male,Solo Act
3Xt3RrJMFv5SZkCfUE8C1J,Kim Petras,"alt z,pop,transpop",female,Solo Act
12Zk1DFhCbHY6v3xep2ZjI,070 Shake,new jersey rap,female,Solo Act
1GVuCyb4PlArufUZDUnRQi,southstar,"hypertechno,pop dance",male,Solo Act
43BxCL6t4c73BQnIJtry5v,James Hype,"deep groove house,house,pop dance,uk dance",male,Solo Act
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,"hip hop,rap",male,Solo Act
5H4yInM5zmHqpKIoMNAx4r,Central Cee,"melodic drill,r&drill",male,Solo Act
3CJKkU0XuElRT1z8rEtIYg,Luciano,"german drill,german hip hop",male,Solo Act
2wY79sveU1sp5g7SokKOiI,Sam Smith,"pop,uk pop",non-binary,Solo Act
7dGJo4pcD2V6oG8kP0tJRR,Eminem,"detroit hip hop,hip hop,rap",male,Solo Act
