rank,track_id,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,region
1,4YxZQd3I4rj1nqkXgvpCk4,"Peter Fox, Inéz",Zukunft Pink (feat. Inéz),WM Germany,1,20,11,2848000,2023-01-05,Germany
2,4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Parlophone UK,2,30,19,2817687,2023-01-05,Germany
3,7sJNeWTXkZCEC7OnFMpGWL,"Luciano, Aitch, BIA",Bamba (feat. Aitch & BIA),URBAN,1,32,15,2149980,2023-01-05,Germany
4,3zkyus0njMCL6phZmNNEeN,Central Cee,LET GO,Central Cee,4,25,3,2102547,2023-01-05,Germany
5,6yeZM8gyykjaf8w0GqRfK4,Nina Chuba,Wildberry Lillet,Jive,1,36,21,2100879,2023-01-05,Germany
6,2dHHgzDwk4BJdRwy9uXhTO,"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),Republic Records,6,29,5,1889305,2023-01-05,Germany
7,3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Capitol Records UK / EMI,2,35,15,1874672,2023-01-05,Germany
8,4tRhRLBxIZ34Iw0eCuiC03,southstar,Miss You,Columbia/B1 Recordings,6,46,25,1824151,2023-01-05,Germany
9,561jH07mF1jHuk7KlaeF0s,Eminem,Mockingbird,Aftermath,6,31,13,1787248,2023-01-05,Germany
10,5WxVXxCMRnvxUKFq40ELwq,"RAYE, 070 Shake",Escapism.,Human Re Sources,10,45,6,1605719,2023-01-05,Germany
11,1z9NVyu6rOFQR57vA94xbR,Nina Chuba,Glatteis,Jive,11,44,5,1493368,2023-01-05,Germany
12,5YdnOm5990Kfq1Jodws98B,"Felix Jaehn, Ray Dalton",Call It Love,Virgin,12,104,15,1475931,2023-01-05,Germany
13,7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,10,48,96,1418680,2023-01-05,Germany
14,4zN21mbAuaD0WqtmaTZZeP,"James Hype, Miggy Dela Rosa",Ferrari,Universal-Island Records Ltd.,5,96,33,1415323,2023-01-05,Germany
15,0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,7,64,11,1368608,2023-01-05,Germany
16,5ZduaRci3iNUiDfJbBfAaf,Matt Sassari,Give It To Me - Full Vocal Mix,Cr2 Records,16,72,25,1334111,2023-01-05,Germany
17,3rb0tMq42WfggucPm0HHkA,"MEDUZA, James Carter, Elley Duhé, FAST BOY",Bad Memories (feat. Elley Duhé & FAST BOY),Universal-Island Records Ltd.,17,85,22,1328396,2023-01-05,Germany
18,7fZBQnc0zXwVybgCIrQQil,"Imanbek, BYOR",Belly Dancer,Musical Freedom,10,102,40,1297871,2023-01-05,Germany
19,5ucyKDPjLpYLGadsRO1wSB,"DJ Robin, Schürze",Layla,Polydor x Island Records & Kontor New Media & Summerfield Records,1,92,35,1266860,2023-01-05,Germany
20,73vIOb4Q7YN6HeJTbscRx5,"Oliver Tree, Robin Schulz",Miss You - Bonus Track,Atlantic Records,19,81,13,1213124,2023-01-05,Germany
21,5CGPOGyyF3XvyQwyqlJH0P,"Nina Chuba, Chapo102",Ich hass dich,Jive,7,71,13,1204635,2023-01-05,Germany
22,4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,2,98,40,1162688,2023-01-05,Germany
23,5xX2LYdXyx0Boa61rZOjq5,Luciano,Beautiful Girl,URBAN,1,75,36,1154779,2023-01-05,Germany
24,3JOV6IFlO4cviGK2cqeTVQ,"Ski Aggu, Endzone, Ericson",Party Sahne,jungeratze,24,109,13,1135345,2023-01-05,Germany
25,35DkXhxqTMiQB582tfjowU,"Ion Miles, SIRA, BHZ",Powerade,Sony Music/BHZ,2,95,37,1121107,2023-01-05,Germany
26,4pnk9Mhzcv3oHxFyARlNNP,"MADE, Bobby Vandamme, Dorian",Moulaga,MADE Entertainment,10,78,12,1077332,2023-01-05,Germany
27,7xaqxUl08zOg0YNUHokQpq,"Miksu / Macloud, t-low",Sehnsucht,Futura,1,111,44,1047302,2023-01-05,Germany
28,3kcKlOkQQEPVwxwljbGJ5p,"Topic, A7S",Kernkraft 400 (A Better Day),Virgin,27,174,29,1023183,2023-01-05,Germany
29,3kgt8Ys78I6GBZlQrWqZiA,"Miksu / Macloud, makko",Nachts wach,Futura,1,87,26,1006847,2023-01-05,Germany
30,1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,30,115,3,1006708,2023-01-05,Germany
31,11BKm0j4eYoCPPpCONAVwA,Lady Gaga,Bloody Mary,Interscope,31,76,6,1005577,2023-01-05,Germany
32,6BePGk3eCan4FqaW2X8Qy3,"Tiësto, Tate McRae",10:35,Atlantic Records,32,135,9,999723,2023-01-05,Germany
33,1kKvfCmzXzRcfszwQrXFPM,AYLIVA,Bei Nacht,Whiteheart Records/WM Germany,11,80,15,997883,2023-01-05,Germany
34,7Je6BkJF9PnQ3lefOw1RrT,Bonez MC,Buzz Down,187 Strassenbande,6,70,4,983399,2023-01-05,Germany
35,1VcHYhlqqEDdN2D2sumdWo,"DJ Gimi-O, Capital Bra",VIJA VIJA,DJ Gimi-O,35,-1,1,973997,2023-01-05,Germany
36,6Hh6pxNSScePI9zjKBIUg2,OsTEKKe,Another Love,Sony Music CG,12,121,18,969868,2023-01-05,Germany
37,5qEGAHerczFt3HmL9lhh4j,"Miksu / Macloud, makko",Nachts wach (Lila Wolken Bootleg),Futura,5,146,19,963998,2023-01-05,Germany
38,6zJejIfVYLgjud3lTk4DLB,Rosa Linn,SNAP,Columbia,21,103,27,944007,2023-01-05,Germany
39,38T0tPVZHcPZyhtOcCP7pF,Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),Columbia,20,116,15,938932,2023-01-05,Germany
40,0QHEIqNKsMoOY5urbzN48u,Meghan Trainor,Made You Look,Epic,28,112,11,917374,2023-01-05,Germany
41,2e8Y9puNglsJIEQbZIHA0t,Sido,Liebst du mich,Urban,25,83,8,910592,2023-01-05,Germany
42,1aOl53hkZGHkl2Snhr7opL,Dean Lewis,How Do I Say Goodbye,Universal Music Australia Pty. Ltd.,21,99,17,908798,2023-01-05,Germany
43,22skzmqfdWrjJylampe0kt,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),Macklemore,43,160,115,896792,2023-01-05,Germany
44,4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Interscope Records,22,120,30,896239,2023-01-05,Germany
45,1DTVCRW8QPPteXXhBlohM2,"Kontra K, Sido, Leony",Follow,Letzte Wölfe,4,106,26,890070,2023-01-05,Germany
46,5C3J3C5nzBclrE8xuW5UQ7,Leony,Remedy,Kontor Records,5,-1,42,883561,2023-01-05,Germany
47,464F2a58LTaitVUFKvEm1J,"Glockenbach, ÁSDÍS",Dirty Dancing,WEFOR,47,-1,17,875548,2023-01-05,Germany
48,5reUV4Jv5GBY1W15E4J9w9,Eddin,Du Fehlst,Epic/Eddin,14,107,12,864754,2023-01-05,Germany
49,5s1EwpwmgQJ8Ti3ltrJdO8,"Jamule, FOURTY",KISSENSCHLACHT,Life Is Pain,4,152,14,848958,2023-01-05,Germany
50,5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Chris Brown Entertainment/RCA Records,10,114,24,843312,2023-01-05,Germany
51,07VcTAooOBP8hIluuUS5xr,twocolors,Heavy Metal Love,Virgin,51,143,8,840642,2023-01-05,Germany
52,4wGSg2Qqpt2sGCWuAZj6EN,Depeche Mode,Enjoy the Silence,Legacy Recordings,52,184,2,836583,2023-01-05,Germany
53,02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,1,163,105,830374,2023-01-05,Germany
54,2q7jpVfCtcuRwcur9nQeuC,"Liaze, equal",PARADISE (MIT DIR),VENTURA Records,2,126,32,828439,2023-01-05,Germany
55,6JIC3hbC28JZKZ8AlAqX8h,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,EMI,8,-1,69,816911,2023-01-05,Germany
56,2IvrIIvwA3zEPXmJitBlJD,"Bausa, Maxwell, Joshi Mizu",Der Berg ruft,Bausa Distribution,28,137,6,814546,2023-01-05,Germany
57,1bDbXMyjaUIooNwFE9wn0N,"Drake, 21 Savage",Rich Flex,OVO / Republic Records,9,127,9,806441,2023-01-05,Germany
58,6kvW6EI5UuqCmlp7L7HD9O,ClockClock,Someone Else,WEFOR,58,134,8,798622,2023-01-05,Germany
59,1N8TTK1Uoy7UvQNUazfUt5,ThxSoMch,SPIT IN MY FACE!,Elektra (NEK),59,145,7,789339,2023-01-05,Germany
60,6sS77FZh2eJfYBsFUW6hjI,Julian Sommer,Dicht im Flieger,Electrola,10,-1,35,778077,2023-01-05,Germany
61,0WtM2NBVQNNJLh6scP13H8,"Rema, Selena Gomez",Calm Down (with Selena Gomez),Mavin Records / Jonzing World,61,155,18,774566,2023-01-05,Germany
62,7G46zumjrtpzV138vMfDb1,Nimo,Weihnachtsbäckerei,MOONBOYS ENT.,39,39,2,774240,2023-01-05,Germany
63,6GomT970rCOkKAyyrwJeZi,"Öwnboss, Sevek",Move Your Body,Musical Freedom,11,197,47,768323,2023-01-05,Germany
64,7y2CanQNBGTd7EVJy80hLC,Kontra K,Nur für Dich,Letzte Wölfe,35,110,19,759647,2023-01-05,Germany
65,7jQkiAaa4XYYsPH3rcfcWo,"Durdenhauer, A$AP Rocky, Skepta",Praise The Lord (Da Shine) (feat. Skepta) - Durdenhauer Edit,A$AP Rocky Recordings LLC/ RCA Records/B1 Recordings,65,-1,1,744320,2023-01-05,Germany
66,0Xh6R6XLoTDRBYriQRgkHj,"David Guetta, Kid Cudi",Memories (feat. Kid Cudi),Parlophone (France),66,-1,67,742762,2023-01-05,Germany
67,2B4GHvToeLTOBB4QLzW3Ni,Farruko,Pepas,Sony Music Latin,9,-1,72,738429,2023-01-05,Germany
68,23SqoExnmW4BTJEYzMJze8,"RAF Camora, Bonez MC",Blaues Licht,Indipendenza,1,186,76,738037,2023-01-05,Germany
69,7G4wi7IAadEj3pzQeR923K,"MADE, Dorian",Spannung,MADE Entertainment,69,151,7,720894,2023-01-05,Germany
70,6hw1Sy9wZ8UCxYGdpKrU6M,Apache 207,Roller,Four Music Local,1,180,176,713581,2023-01-05,Germany
71,4FXX4P3dxc1JMBx5wVRJ5N,"Tream, treamiboii, HBz",LEBENSLANG - HBz Remix,HBzMusic,16,176,46,709000,2023-01-05,Germany
72,3uUuGVFu1V7jTQL60S1r8z,"Lost Frequencies, Calum Scott",Where Are You Now,Epic Amsterdam,4,198,75,708925,2023-01-05,Germany
73,2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Columbia,45,153,106,700882,2023-01-05,Germany
74,6qyS9qBy0mEk3qYaH8mPss,Kordhell,Murder In My Mind,Kordhell,60,149,23,691739,2023-01-05,Germany
75,4FyesJzVpA39hbYvcseO2d,Lil Uzi Vert,Just Wanna Rock,Generation Now/Atlantic,75,172,9,689490,2023-01-05,Germany
76,2sFsvaMRe8PKo5AFdBE9qC,Montez,Auf & Ab,Vertigo Berlin,1,169,75,678050,2023-01-05,Germany
77,3LtpKP5abr2qqjunvjlX5i,Central Cee,Doja,Central Cee,12,178,24,676547,2023-01-05,Germany
78,18asYwWugKjjsihZ0YvRxO,"Tiësto, Ava Max",The Motto,Atlantic Records,8,-1,56,676072,2023-01-05,Germany
