rank,track_id,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week
1,1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,1,5,4,41474366,2023-01-05
2,3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Capitol Records UK / EMI,1,11,15,33132175,2023-01-05
3,4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,15,40,30998084,2023-01-05
4,4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Parlophone UK,2,20,19,30704256,2023-01-05
5,2dHHgzDwk4BJdRwy9uXhTO,"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),Republic Records,3,13,5,28092232,2023-01-05
6,5ww2BF9slyYgNOk37BlC4u,Manuel Turizo,La Bachata,Sony Music Latin/La Industria,4,16,27,27357095,2023-01-05
7,0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,23,11,25446860,2023-01-05
8,2tTmW7RDtMQtBk7m2rYeSw,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",DALE PLAY Records,1,21,26,24450866,2023-01-05
9,2mnXxnrX5vCGolNkaFvVeM,"Arcángel, Bad Bunny",La Jumpa,Rimas Entertainment LLC.,9,19,5,23899303,2023-01-05
10,6Sq7ltF9Qa7SNFBsV5Cogx,"Bad Bunny, Chencho Corleone",Me Porto Bonito,Rimas Entertainment LLC,2,30,35,20585192,2023-01-05
11,1Y3LN4zO1Edc2EluIoSPJN,"Stephen Sanchez, Em Beihold",Until I Found You (with Em Beihold) - Em Beihold Version,Republic Records,11,40,5,20156207,2023-01-05
12,0QHEIqNKsMoOY5urbzN48u,Meghan Trainor,Made You Look,Epic,8,36,11,20067258,2023-01-05
13,0WtM2NBVQNNJLh6scP13H8,"Rema, Selena Gomez",Calm Down (with Selena Gomez),Mavin Records / Jonzing World,13,39,19,19945085,2023-01-05
14,1bDbXMyjaUIooNwFE9wn0N,"Drake, 21 Savage",Rich Flex,OVO / Republic Records,2,35,9,19785643,2023-01-05
15,4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Interscope Records,7,46,31,19542237,2023-01-05
16,1zsPaEkglFvxjAhrM8yhpr,"Ozuna, Feid",Hey Mor,Aura Music Corp.,14,34,12,19322335,2023-01-05
17,1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,Rimas Entertainment LLC,4,38,35,19250774,2023-01-05
18,7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,15,41,91,18813633,2023-01-05
19,5WxVXxCMRnvxUKFq40ELwq,"RAYE, 070 Shake",Escapism.,Human Re Sources,19,51,6,18656083,2023-01-05
20,5odlY52u43F5BjByhxg7wg,JVKE,golden hour,JVKE,20,43,19,18479935,2023-01-05
21,3r8RuvgbX9s7ammBn07D3W,NewJeans,Ditto,ADOR,21,48,3,18012606,2023-01-05
22,3zkyus0njMCL6phZmNNEeN,Central Cee,LET GO,Central Cee,19,37,3,17902620,2023-01-05
23,2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,Universal Republic Records,23,49,47,17610459,2023-01-05
24,73vIOb4Q7YN6HeJTbscRx5,"Oliver Tree, Robin Schulz",Miss You - Bonus Track,Atlantic Records,11,52,13,17415559,2023-01-05
25,54ELExv56KCAB4UP9cOCzC,"Ñengo Flow, Bad Bunny",Gato de Noche,Rimas Entertainment LLC,25,27,2,17401643,2023-01-05
