rank,track_id,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,region
1,1418IuVKQPTYqt7QNJ9RXN,King,Maan Meri Jaan,Warner Music India,1,1,12,13749607,2023-01-05,India
3,4UMIv5jd9gK98a39BQRD9X,"Pritam, Arijit Singh, Amitabh Bhattacharya",Kesariya,Sony Music Entertainment India Pvt. Ltd.,1,3,25,6122213,2023-01-05,India
4,0CtZpaOhtzvLV3FfcsVpQo,"Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Vishal Dadlani, Shekhar Ravjiani, Kumaar","Besharam Rang (From ""Pathaan"")",YRF Music,4,4,4,5520957,2023-01-05,India
5,0yCWDaAgOtg6TKlNCg9rwA,King,Tu Aake Dekhle,Warner Music India,3,5,101,5398389,2023-01-05,India
6,3wz2vWhYnnBoFmgMkqtzLy,"Chani Nattan, Inderpal Moga",Daku,Kharku Life Records,5,6,20,4193790,2023-01-05,India
7,5TjVLCESR9XIp5vDAWYfmi,"Badshah, Karan Aujla, Devika Badyal",Players,Universal Music India Pvt Ltd.,7,19,2,3715366,2023-01-05,India
8,08Isz2ETWSBhvIl8UpKYsp,Shubh,No Love,SHUBH,2,7,43,3711965,2023-01-05,India
9,0zlGnseLGzRIBA0TJcb3Bo,"Yohani, Jubin Nautiyal, Tanishk Bagchi, Rashmi Virag, Surya Ragunaathan","Manike (From ""Thank God"")",T-Series,2,8,16,3396904,2023-01-05,India
10,42TMa2hgBNjte4uV7jNCnQ,"Shubh, Ikky",Baller,SHUBH,2,9,17,3308006,2023-01-05,India
11,0snQrp1VaY5Pj1YIHRJpRJ,Aditya A,Chaand Baaliyan,Sony Music Entertainment India Pvt. Ltd.,2,11,46,3010536,2023-01-05,India
12,1LbBOhicFmu7ktJqIHCELt,"Thalapathy Vijay, M.M.Manasi, Thaman S","Ranjithame (From ""Varisu"")",T-Series,9,10,9,3005454,2023-01-05,India
13,7oN0Wo7sCVvXPdpxoio3JM,"Madhur Sharma, Swapnil Tare, Nusrat Fateh Ali Khan",Kali Kali Zulfon Ke (Lo-Fi),T-Series,13,15,18,2839904,2023-01-05,India
14,29m79w9xPMH4YCD6r8JSmV,"AP Dhillon, Gurinder Gill, Intense",Excuses,RUN-UP RECORDS,1,14,63,2704976,2023-01-05,India
15,7lvDsmTRXFE3dK4OjvRiWB,"Shae Gill, Ali Sethi",Pasoori,Giraffe Pakistan,1,13,46,2660572,2023-01-05,India
16,3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Capitol Records UK / EMI,6,12,14,2658507,2023-01-05,India
17,49TNlAQZXmFBteKZBF9rj0,MC SQUARE,Ram Ram,T-Series,17,17,10,2621819,2023-01-05,India
18,2rOnSn2piaqLAlYjtfUBlY,"Tanishk Bagchi, Jubin Nautiyal, Asees Kaur","Raataan Lambiyan (From ""Shershaah"")",Sony Music Entertainment India Pvt. Ltd.,1,18,75,2435302,2023-01-05,India
19,2FCXQHugkoHE1K3tiDu8pu,"Alka Yagnik, Arijit Singh","Agar Tum Saath Ho (From ""Tamasha"")",T-Series,4,21,188,2408359,2023-01-05,India
20,2QophXhN2Ls2URfoPmiviC,"Taaruk Raina, Mismatched - Cast",Kho Gaye,Netflix Music,8,22,12,2388348,2023-01-05,India
21,3wwLWFRLiReDf5AqgmAJwT,"Rito Riba, Rajat Nagpal, Rana Sotal",Heer Ranjha,PlayDMF,11,24,11,2317785,2023-01-05,India
22,1a8w8nlIyIhE2W1HIayKnl,"Amit Trivedi, Amitabh Bhattacharya, Sireesha Bhagavatula","Ghodey Pe Sawaar (From ""Qala"")",Sony Music Entertainment India Pvt. Ltd. / Netflix Music Inc.,22,105,2,2300283,2023-01-05,India
23,5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Chris Brown Entertainment/RCA Records,7,20,21,2263786,2023-01-05,India
24,0WtM2NBVQNNJLh6scP13H8,"Rema, Selena Gomez",Calm Down (with Selena Gomez),Mavin Records / Jonzing World,24,31,16,2260365,2023-01-05,India
25,6FAYpZ4jve8vpvTwUvjK6H,"Vishal-Shekhar, Arijit Singh, Sukriti Kakar, Vishal Dadlani, Shekhar Ravjiani, Kumaar",Jhoome Jo Pathaan,YRF Music,16,16,2,2249068,2023-01-05,India
26,6ZYxNjuAU9Vy3VtF6W1dtE,Shubh,We Rollin,SHUBH,10,26,58,2245324,2023-01-05,India
27,1aL9518P5G72N92b48tuKw,AP Dhillon,Summer High,RUN-UP RECORDS,3,25,22,2213691,2023-01-05,India
28,0gmEt2nKOssVRStyUmjSpE,Paradox,Jaadugar,T-Series,13,23,13,2212395,2023-01-05,India
29,45C7tXCrmp3R5E65XUtLLj,"Tanishk Bagchi, Faridkot, Yohani, Amar Jalal, Harjot Kaur","Jehda Nasha (From ""An Action Hero"")",T-Series,27,27,7,2197841,2023-01-05,India
30,6TK7jseRCrogw9IzQYkw2h,"Silambarasan TR, Thaman S","Thee Thalapathy (From ""Varisu"")",T-Series,28,28,5,2138326,2023-01-05,India
31,7FVgT8XjxUSfKuZuHxg316,"Prince Narula, Munawar Faruqui, Rony Ajnali",Todh,EYP Creations,31,42,5,2048881,2023-01-05,India
32,1smFN2CLqGROu0J0UyvDfL,"Pritam, Arijit Singh",Shayad,Sony Music Entertainment India Pvt. Ltd.,1,30,155,2015275,2023-01-05,India
33,1Y3LN4zO1Edc2EluIoSPJN,"Stephen Sanchez, Em Beihold",Until I Found You (with Em Beihold) - Em Beihold Version,Republic Records,29,34,5,1991581,2023-01-05,India
