rank,track_id,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,region
1,1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,1,2,4,15030938,2023-01-05,USA
2,1bDbXMyjaUIooNwFE9wn0N,"Drake, 21 Savage",Rich Flex,OVO / Republic Records,1,13,9,8469115,2023-01-05,USA
3,2dHHgzDwk4BJdRwy9uXhTO,"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),Republic Records,1,12,5,8039812,2023-01-05,USA
4,0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,26,11,6821345,2023-01-05,USA
5,4FyesJzVpA39hbYvcseO2d,Lil Uzi Vert,Just Wanna Rock,Generation Now/Atlantic,5,21,12,6709165,2023-01-05,USA
6,4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,Bad Habit,L-M Records/RCA Records,1,20,27,6461071,2023-01-05,USA
7,3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Capitol Records UK / EMI,1,33,15,6362743,2023-01-05,USA
8,0vjeOZ3Ft5jvAi9SBFJm1j,"Metro Boomin, Future, Chris Brown",Superhero (Heroes & Villains) [with Future & Chris Brown],Republic Records,2,24,5,6271052,2023-01-05,USA
9,5odlY52u43F5BjByhxg7wg,JVKE,golden hour,JVKE,9,30,20,5773584,2023-01-05,USA
10,4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,46,40,5588118,2023-01-05,USA
11,1xK59OXxi2TAAAbmZK0kBL,d4vd,Romantic Homicide,Darkroom/Interscope Records,3,35,22,5473715,2023-01-05,USA
12,2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,Universal Republic Records,12,41,95,5318655,2023-01-05,USA
13,5Y35SjAfXjjG0sFQ3KOxmm,SZA,Nobody Gets Me,Top Dawg Entertainment/RCA Records,3,28,4,5296399,2023-01-05,USA
14,2GAhgAjOhEmItWLfgisyOn,SZA,Low,Top Dawg Entertainment/RCA Records,4,29,4,5287116,2023-01-05,USA
15,3WMj8moIAXJhHsyLaqIIHI,Zach Bryan,Something in the Orange,Warner Records,4,40,37,5278720,2023-01-05,USA
16,2wSTnntOPRi7aQneobFtU4,SZA,Shirt,Top Dawg Entertainment/RCA Records,8,37,10,4886253,2023-01-05,USA
17,4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Parlophone UK,8,75,19,4852448,2023-01-05,USA
18,1Y3LN4zO1Edc2EluIoSPJN,"Stephen Sanchez, Em Beihold",Until I Found You (with Em Beihold) - Em Beihold Version,Republic Records,18,67,4,4390912,2023-01-05,USA
19,5uU1uuyaUIBOiiUSQG7Wl3,Morgan Wallen,You Proof,Big Loud / Mercury Records / Republic Records,11,57,34,4357388,2023-01-05,USA
20,2CSRrnOEELmhpq8iaAi9cd,SZA,Blind,Top Dawg Entertainment/RCA Records,5,42,4,4310951,2023-01-05,USA
21,1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,Rimas Entertainment LLC,3,62,35,4146701,2023-01-05,USA
22,78Sw5GDo6AlGwTwanjXbGh,d4vd,Here With Me,Darkroom/Interscope Records,22,60,11,4092336,2023-01-05,USA
23,3F5CgOj3wFlRv51JsHbxhe,"Drake, 21 Savage",Jimmy Cooks (feat. 21 Savage),OVO,2,66,29,4055409,2023-01-05,USA
24,5WxVXxCMRnvxUKFq40ELwq,"RAYE, 070 Shake",Escapism.,Human Re Sources,24,82,5,4021186,2023-01-05,USA
25,2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Columbia,13,65,124,3968529,2023-01-05,USA
26,68Dni7IE4VyPkTOH9mRWHr,J. Cole,No Role Modelz,Roc Nation Records LLC,10,70,256,3967800,2023-01-05,USA
27,0JXXNGljqupsJaZsgSbMZV,Miguel,Sure Thing,Jive,27,80,13,3868765,2023-01-05,USA
28,6Sq7ltF9Qa7SNFBsV5Cogx,"Bad Bunny, Chencho Corleone",Me Porto Bonito,Rimas Entertainment LLC,2,71,35,3862432,2023-01-05,USA
29,5jQI2r1RdgtuT8S3iG8zFC,Taylor Swift,Lavender Haze,Taylor Swift,2,83,11,3789787,2023-01-05,USA
30,4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Interscope Records,7,96,31,3767781,2023-01-05,USA
31,1xzi1Jcr7mEi9K2RfzLOqS,Beyoncé,CUFF IT,Parkwood Entertainment/Columbia,10,111,23,3722447,2023-01-05,USA
32,4686eQ81DEswHa90bcdlC9,Bailey Zimmerman,Rock and A Hard Place,Warner Music Nashville/Elektra,26,99,30,3700007,2023-01-05,USA
33,0QHEIqNKsMoOY5urbzN48u,Meghan Trainor,Made You Look,Epic,27,94,11,3658808,2023-01-05,USA
34,3EaJDYHA0KnX88JvDhL9oa,Steve Lacy,Dark Red,Three Quarter,16,85,74,3465946,2023-01-05,USA
35,4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,Snooze,Top Dawg Entertainment/RCA Records,18,69,4,3427153,2023-01-05,USA
36,3azJifCSqg9fRij2yKIbWz,Tory Lanez,The Color Violet,One Umbrella Records,36,102,18,3395884,2023-01-05,USA
37,0IKeDy5bT9G0bA7ZixRT4A,"Fuerza Regida, Grupo Frontera",Bebe Dame,Rancho Humilde/Street Mob Records,37,181,2,3362395,2023-01-05,USA
38,02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,1,117,110,3352612,2023-01-05,USA
39,2Hh3ETdQKrmSI3QS0hme7g,"Metro Boomin, Future, Don Toliver",Too Many Nights (feat. Don Toliver & with Future),Republic Records,10,76,5,3343573,2023-01-05,USA
40,3cBsEDNhFI9E82vPj3kvi3,Morgan Wallen,Wasted On You,Big Loud / Republic,3,95,102,3343447,2023-01-05,USA
41,54ELExv56KCAB4UP9cOCzC,"Ñengo Flow, Bad Bunny",Gato de Noche,Rimas Entertainment LLC,38,38,2,3274904,2023-01-05,USA
42,4WuOWVnAqvEQxgSRrspBgt,"Metro Boomin, Travis Scott, 21 Savage",Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],Republic Records,7,84,5,3253736,2023-01-05,USA
43,1eIXYZWEfJO3Na2LCCnIJE,SZA,Love Language,Top Dawg Entertainment/RCA Records,11,73,4,3231421,2023-01-05,USA
44,4PMqSO5qyjpvzhlLI5GnID,SZA,Good Days,Top Dawg Entertainment/RCA Records,1,90,89,3204384,2023-01-05,USA
45,59nOXPmaKlBfGMDeOVGrIK,"Future, Drake, Tems",WAIT FOR U (feat. Drake & Tems),Epic/Freebandz,3,97,36,3181875,2023-01-05,USA
46,3hxIUxnT27p5WcmjGUXNwx,Hotel Ugly,Shut up My Moms Calling,"Hotel Ugly, under exclusive license to Amuseio AB",46,101,18,3166039,2023-01-05,USA
47,6HMtHNpW6YPi1hrw9tgF8P,Lizzo,About Damn Time,Nice Life/Atlantic,6,-1,35,3159606,2023-01-05,USA
48,3rWDp9tBPQR9z6U5YyRSK4,Taylor Swift,Midnight Rain,Taylor Swift,3,105,11,3077083,2023-01-05,USA
49,0O6u0VJ46W86TxN9wgyqDj,"Post Malone, Doja Cat",I Like You (A Happier Song) (with Doja Cat),Mercury Records/Republic Records,3,113,31,3034749,2023-01-05,USA
50,58ge6dfP91o9oXMzq3XkIS,Arctic Monkeys,505,Domino Recording Co,18,110,103,3017438,2023-01-05,USA
51,6eT2V7nKXyMf47TwPbtgAD,SZA,Seek & Destroy,Top Dawg Entertainment/RCA Records,10,77,4,3005427,2023-01-05,USA
52,4h5x3XHLVYFJaItKuO2rhy,"SZA, Phoebe Bridgers",Ghost in the Machine (feat. Phoebe Bridgers),Top Dawg Entertainment/RCA Records,17,87,4,2945267,2023-01-05,USA
53,2mnXxnrX5vCGolNkaFvVeM,"Arcángel, Bad Bunny",La Jumpa,Rimas Entertainment LLC.,45,106,5,2889999,2023-01-05,USA
54,5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Chris Brown Entertainment/RCA Records,22,109,21,2878752,2023-01-05,USA
55,1N8TTK1Uoy7UvQNUazfUt5,ThxSoMch,SPIT IN MY FACE!,Elektra (NEK),55,123,8,2861600,2023-01-05,USA
56,4NqkE7kRUvMDEdcqD96EDO,"SZA, Don Toliver",Used (feat. Don Toliver),Top Dawg Entertainment/RCA Records,13,89,4,2844987,2023-01-05,USA
57,7H0ya83CMmgFcOhw0UB6ow,Beach House,Space Song,Bella Union,57,129,77,2794373,2023-01-05,USA
58,2yjlYDiNiQkdxVqTlaSrlX,Nicki Minaj,Super Freaky Girl,Republic Records,2,146,21,2751738,2023-01-05,USA
59,0hquQWY3xvYqN4qtiquniF,Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),Kemosabe Records/RCA Records,7,179,35,2743555,2023-01-05,USA
60,4ewazQLXFTDC8XvCbhvtXs,Joji,Glimpse of Us,88rising Music/Warner Records,1,122,30,2682643,2023-01-05,USA
61,3r8RuvgbX9s7ammBn07D3W,NewJeans,Ditto,ADOR,61,118,2,2682186,2023-01-05,USA
62,5Eax0qFko2dh7Rl2lYs3bx,Bad Bunny,Efecto,Rimas Entertainment LLC,10,121,35,2648715,2023-01-05,USA
63,3QFInJAm9eyaho5vBzxInN,"Baby Keem, Kendrick Lamar",family ties (with Kendrick Lamar),Columbia,8,133,71,2635155,2023-01-05,USA
64,0WtM2NBVQNNJLh6scP13H8,"Rema, Selena Gomez",Calm Down (with Selena Gomez),Mavin Records / Jonzing World,64,195,16,2634787,2023-01-05,USA
65,2TktkzfozZifbQhXjT6I33,Omar Apollo,Evergreen (You Didn’t Deserve Me At All),Warner Records,12,168,17,2631180,2023-01-05,USA
66,4vVjPTApwXZwB2H3mBq3ml,"Quavo, Takeoff",HOTEL LOBBY (Unc & Phew),Quality Control Music/Motown Records,61,126,26,2621989,2023-01-05,USA
67,2KLwPaRDOB87XOYAT2fgxh,"Drake, 21 Savage, Travis Scott",Pussy & Millions (feat. Travis Scott),OVO / Republic Records,3,120,9,2604099,2023-01-05,USA
68,1qEmFfgcLObUfQm0j1W2CK,Harry Styles,Late Night Talking,Columbia,2,175,33,2593362,2023-01-05,USA
69,5ww2BF9slyYgNOk37BlC4u,Manuel Turizo,La Bachata,Sony Music Latin/La Industria,48,134,20,2593120,2023-01-05,USA
70,7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,5,142,11,2589122,2023-01-05,USA
71,7EAMXbLcL0qXmciM5SwMh2,Mac DeMarco,Heart To Heart,Mac’s Record Label,71,158,3,2587081,2023-01-05,USA
72,11BKm0j4eYoCPPpCONAVwA,Lady Gaga,Bloody Mary,Interscope,72,159,5,2541055,2023-01-05,USA
73,6koKhrBBcExADvWuOgceNZ,"SZA, Travis Scott",Open Arms (feat. Travis Scott),Top Dawg Entertainment/RCA Records,30,116,4,2531512,2023-01-05,USA
74,3qoftcUZaUOncvIYjFSPdE,Taylor Swift,Bejeweled,Taylor Swift,8,149,11,2529964,2023-01-05,USA
75,5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,1,183,78,2526713,2023-01-05,USA
76,6RQ5IwG7uADz9LDWliJGjU,SZA,Special,Top Dawg Entertainment/RCA Records,20,103,4,2517726,2023-01-05,USA
77,4D7BCuvgdJlYvlX5WlN54t,Taylor Swift,"You're On Your Own, Kid",Taylor Swift,6,147,11,2517171,2023-01-05,USA
78,4EWCNWgDS8707fNSZ1oaA5,Kanye West,Heartless,Roc-A-Fella,40,152,66,2516247,2023-01-05,USA
79,5gDWsRxpJ2lZAffh5p7K0w,"The Weeknd, Lana Del Rey",Stargirl Interlude,Universal Republic Records,57,148,27,2499902,2023-01-05,USA
80,5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,80,154,17,2468805,2023-01-05,USA
81,3eX0NZfLtGzoLUxPNvRfqm,Taylor Swift,Maroon,Taylor Swift,3,144,11,2460801,2023-01-05,USA
82,5UWwZ5lm5PKu6eKsHAGxOk,Foo Fighters,Everlong,RCA Records Label,82,188,22,2459819,2023-01-05,USA
83,48UKTR66uUOT9LaUvooTNx,Luke Combs,The Kind of Love We Make,River House Artists/Columbia Nashville,15,150,29,2456580,2023-01-05,USA
84,5TXDeTFVRVY7Cvt0Dw4vWW,XXXTENTACION,Revenge,Bad Vibes Forever / EMPIRE,25,139,62,2453001,2023-01-05,USA
85,003vvx7Niy0yvhvHt4a68B,The Killers,Mr. Brightside,Island Records,60,-1,123,2447750,2023-01-05,USA
86,0mflMxspEfB0VbI1kyLiAv,Noah Kahan,Stick Season,Mercury Records/Republic Records,43,173,26,2434152,2023-01-05,USA
87,5xMw6qCcpd2gBXPGTegC4W,SZA,SOS,Top Dawg Entertainment/RCA Records,15,114,4,2414764,2023-01-05,USA
88,6Um358vY92UBv5DloTRX9L,"Carin Leon, Grupo Frontera",Que Vuelvas,BorderKid Records/Sony Music Latin,88,-1,1,2392252,2023-01-05,USA
89,4tqcoej1zPvwePZCzuAjJd,J. Cole,Wet Dreamz,Roc Nation Records LLC,75,169,64,2389958,2023-01-05,USA
90,0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,1,-1,158,2386011,2023-01-05,USA
91,3XgGQ1wjo5khvq2UImjyNF,Brent Faiyaz,ALL MINE,"Lost Kids LLC., Marketed by Venice / Stem",22,155,22,2384735,2023-01-05,USA
92,7MXVkk9YMctZqd1Srtv4MB,"The Weeknd, Daft Punk",Starboy,Universal Republic Records,3,170,101,2366404,2023-01-05,USA
93,4h4QlmocP3IuwYEj2j14p8,"Nicky Youre, dazy",Sunroof,Thirty Knots/Columbia,21,-1,35,2363922,2023-01-05,USA
94,2HbKqm4o0w5wEeEFXm2sD4,"Kendrick Lamar, Jay Rock",Money Trees,Aftermath,52,171,107,2362222,2023-01-05,USA
95,3AVrVz5rK8Hrqo9YGiVGN5,Cigarettes After Sex,Apocalypse,Partisan Records,49,163,26,2332093,2023-01-05,USA
96,3NanY0K4okhIQzL33U5Ad8,PinkPantheress,Boy's a Liar,Warner Records,93,136,5,2312461,2023-01-05,USA
97,3DarAbFujv6eYNliUTyqtz,"Doja Cat, SZA",Kiss Me More (feat. SZA),Kemosabe Records/RCA Records,1,-1,80,2304373,2023-01-05,USA
98,73vIOb4Q7YN6HeJTbscRx5,"Oliver Tree, Robin Schulz",Miss You - Bonus Track,Atlantic Records,48,177,12,2288443,2023-01-05,USA
99,3sNVsP50132BTNlImLx70i,Kanye West,Bound 2,Rock The World/IDJ/Kanye/LP6,20,164,54,2287317,2023-01-05,USA
100,6IyoLWzljeR3ldQo4KWHT6,Yeat,Out thë way,Field Trip Recordings/Geffen Records,100,162,5,2284273,2023-01-05,USA
101,3xKsf9qdS1CyvXSMEid6g8,Frank Ocean,Pink + White,Boys Don't Cry,91,192,21,2283377,2023-01-05,USA
102,7fBv7CLKzipRk6EC6TWHOB,The Weeknd,The Hills,Universal Republic Records,27,187,98,2261950,2023-01-05,USA
103,7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,103,194,16,2252491,2023-01-05,USA
