rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:6tAKikIvnoWfUeZrfkopLL","Ski Aggu, Joost, Otto Waalkes","Friesenjung","jungeratze & Albino Sports",1,-1,1,"5171351"
2,"spotify:track:5QVOfXj8466NDNQRAqfWaA","Pashanim","Bagchaser Can","Urban",2,52,2,"3954694"
3,"spotify:track:7oQepKHmXDaPC3rgeLRvQu","Udo Lindenberg, Apache 207","Komet","Warner Music Central Europe",1,2,19,"3591539"
4,"spotify:track:42Ztw2ZtZR3mtWjXpg0R5I","Yung Yury, Damn Yury","TABU.","5Zero",1,3,8,"3114371"
5,"spotify:track:0zQBUaHR4dOlyPPhqRAr27","Apache 207","Wenn das so bleibt","Four Music/Feder Musik",1,1,2,"2960466"
6,"spotify:track:1odExI7RdWc4BT515LTAwj","David Kushner","Daylight","Miserable Music Group, LLC",3,5,7,"2501674"
7,"spotify:track:7JAx138Rw3k7L1rUIgnNqh","HoodBlaq","PASS AUF","Columbia/BE.ELA.QU GmbH",5,8,10,"2000936"
8,"spotify:track:2hEV30dObDzShJ3MbR9mGQ","RAF Camora, CRO","Bei Nacht","Indipendenza",4,4,2,"1976500"
9,"spotify:track:4taclmQm9wFcK4dKQjR5ny","RAF Camora, Luciano","All Night","Indipendenza",1,10,9,"1921317"
10,"spotify:track:62NrIrsxxNXJVvtRivWYjM","Ikke Hüftgold, Schürze, DJ Robin","Bumsbar","Summerfield Records",6,12,5,"1921229"
11,"spotify:track:0pC6XqDVKQC4czY2bgF7nj","Apache 207","Neunzig","Four Music/Feder Musik",1,6,5,"1896693"
12,"spotify:track:4DHcnVTT87F0zZhRPYmZ3B","Miley Cyrus","Flowers","Columbia",1,14,20,"1864505"
13,"spotify:track:1uUgy87UHT9rlbxHirty3g","Peter Fox, Inéz","Zukunft Pink (feat. Inéz)","Warner Music Central Europe",1,27,32,"1794142"
14,"spotify:track:5TYmnScjaRecWuBqEaA7S5","01099, Paul, Ski Aggu","Anders","01099/WM Germany",7,15,6,"1770706"
15,"spotify:track:3pyvUdSZvgrmZbXcEsL2bs","Apache 207","Breaking your heart","Four Music/Feder Musik",2,13,9,"1742227"
16,"spotify:track:4pnVqiT1AEoXh8Cvk4D6DO","MERO, Marlo","Favorites","Pentagon Records Plus",16,-1,1,"1724615"
17,"spotify:track:1t3DUBo9FDyH8vROTU4fAi","reezy, Luciano","EXPENSIVE SHIT","Four Music/2022 TEENAGER FOREVER Ent.",1,11,4,"1649560"
18,"spotify:track:3IhM5Mber8KA0NaRNpK2px","Tiësto","Lay Low","Atlantic Records",13,20,21,"1649319"
19,"spotify:track:4vWAaoSebO4sp4Jo9f3cVn","Peter Fox","Tuff Cookie","Warner Music Central Europe",19,-1,1,"1632904"
20,"spotify:track:1P5Cnay9p7xi4En8LptC0O","Dardan","Manolo","Hypnotize Entertainment",20,-1,1,"1601074"
21,"spotify:track:561jH07mF1jHuk7KlaeF0s","Eminem","Mockingbird","Aftermath",4,18,34,"1525608"
22,"spotify:track:3BKD1PwArikchz2Zrlp1qi","David Guetta, Anne-Marie, Coi Leray","Baby Don't Hurt Me","Parlophone UK",17,21,8,"1494459"
23,"spotify:track:0c9jFK9AL7CsO4elFpE1rw","Shirin David","Lächel Doch Mal","Juicy Money Records",7,7,2,"1456388"
24,"spotify:track:1DmW5Ep6ywYwxc2HMT5BG6","Loreen","Tattoo","Universal Music AB",12,16,3,"1412145"
25,"spotify:track:7AyE8MRf4dIK75mqqpks9S","Nina Chuba","Mangos mit Chili","Jive",4,22,17,"1410333"
26,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",2,25,40,"1378511"
27,"spotify:track:6LBmaJYwbLHfQwIreMCLlw","Nina Chuba","Wildberry Lillet","Jive",1,28,42,"1298643"
28,"spotify:track:5CvAzdenlzv3ImMcG7awJV","Julian Sommer, Mia Julia","Peter Pan","Electrola",17,31,10,"1255852"
29,"spotify:track:60jQoHwEzJByhXP8bl9A86","Peter Fox","Ein Auge blau","Warner Music Central Europe",12,163,7,"1241448"
30,"spotify:track:3plgMV8SGOfWFOALXY09vF","reezy","SHOOT","Four Music/2022 TEENAGER FOREVER Ent.",3,23,10,"1221197"
31,"spotify:track:2H4HtOA24KXUYiINpGZ1ju","RAF Camora","ANNA","Indipendenza",5,17,4,"1207092"
32,"spotify:track:3879mntZAUN5J9ejHjjvpr","Tream, treamiboii","Zelten auf Kies","3AM MUSIC",32,34,3,"1171939"
33,"spotify:track:7DyDjhZMEIK5Ied4juTCyc","AYLIVA, MERO","Sie weiß (feat. Mero)","Whiteheart Records/WM Germany",1,32,21,"1164753"
34,"spotify:track:2hFOXN8Eq2gXIGGMIdHdWJ","Ski Aggu, Endzone, Ericson","Party Sahne","jungeratze",24,53,34,"1159045"
35,"spotify:track:0eLwzWx2WsbZfQQ335bLPQ","HoodBlaq, Bonez MC","MINIMUM (feat. Bonez MC)","Columbia/BE.ELA.QU GmbH",9,9,2,"1147739"
36,"spotify:track:6hw1Sy9wZ8UCxYGdpKrU6M","Apache 207","Roller","Four Music Local",1,33,197,"1131634"
37,"spotify:track:3JlHRjPt2TNB9h7VFf0im2","Jonas Blue, Felix Jaehn","Weekends","Positiva",37,40,17,"1125035"
38,"spotify:track:4W0QJmjxdTah60U6lZoOEA","Bausa, Chapo102","Tut mir nicht leid","A Million Music",38,-1,1,"1121615"
39,"spotify:track:4GUrzAwDBOyEMQTo42GGzf","Bonez MC, Gzuz","Cinnamon Roll","187 Strassenbande",2,26,6,"1120350"
40,"spotify:track:7sJNeWTXkZCEC7OnFMpGWL","Luciano, Aitch, BIA","Bamba (feat. Aitch & BIA)","URBAN",1,35,36,"1114162"
41,"spotify:track:0fNKwCjU3ymvLr9dWi5zzI","Capital Bra, Pano","Belly Dance","URBAN",41,-1,1,"1073065"
42,"spotify:track:1i1UXHK1roiVBYynK3m46Q","HoodBlaq","CARRERA","Columbia/BE.ELA.QU GmbH",11,24,4,"1060063"
43,"spotify:track:4atLPkcljMp14JBaigYFKC","Empire Of The Sun, southstar","We Are The People - southstar Remix","Capitol Records",27,43,20,"1059800"
44,"spotify:track:3AjSfp5FDvwtMU9XBsbS8j","Creeds","Push Up - Main Edit","Columbia/B1 Recordings",44,57,7,"1059477"
